job_id,subtime,start_time,finish_time,waiting_time
296,52128,54828.0,54839.0,2700.0
321,54151,54151.0,56840.0,0.0
331,54885,56840.0,57060.0,1955.0
333,55252,57060.0,58328.0,1808.0
339,56706,58328.0,58615.0,1622.0
336,55612,58795.0,58804.0,3183.0
341,57078,58615.0,58909.0,1537.0
338,56204,58904.0,58913.0,2700.0
328,54673,58795.0,58956.0,4122.0
343,57412,58909.0,59024.0,1497.0
344,57863,59024.0,59207.0,1161.0
332,54889,58956.0,59209.0,4067.0
347,59334,59334.0,59346.0,0.0
348,59618,59618.0,59630.0,0.0
340,56769,59469.0,59693.0,2700.0
334,55313,58795.0,60002.0,3482.0
342,57140,59840.0,60072.0,2700.0
349,60189,60189.0,60199.0,0.0
346,58762,61462.0,61563.0,2700.0
345,58126,59207.0,61890.0,1081.0
352,61049,61890.0,62176.0,841.0
354,61496,62176.0,63071.0,680.0
350,60520,63220.0,63227.0,2700.0
351,61042,64009.0,64256.0,2967.0
353,61418,64256.0,64499.0,2838.0
355,61686,64499.0,64720.0,2813.0
356,62660,63071.0,65745.0,411.0
357,65100,67800.0,67811.0,2700.0
373,72005,74705.0,83783.0,2700.0
379,81088,86483.0,97408.0,5395.0
380,92020,97408.0,104367.0,5388.0
417,102247,104947.0,104951.0,2700.0
501,119099,121799.0,121808.0,2700.0
507,119642,122342.0,122350.0,2700.0
524,124269,126969.0,126977.0,2700.0
618,145195,147895.0,147910.0,2700.0
532,125455,128155.0,147916.0,2700.0
619,145220,150616.0,150632.0,5396.0
621,145531,150632.0,150739.0,5101.0
630,154804,157504.0,157600.0,2700.0
633,155847,157600.0,157993.0,1753.0
643,157733,157993.0,158105.0,260.0
634,156282,157993.0,158120.0,1711.0
641,157108,157993.0,158169.0,885.0
642,157454,158169.0,158333.0,715.0
650,158270,158333.0,158436.0,63.0
644,157899,158333.0,158463.0,434.0
652,158539,158539.0,158675.0,0.0
651,158407,158407.0,159208.0,0.0
654,158976,163475.0,163593.0,4499.0
656,159123,164008.0,164098.0,4885.0
657,159217,168898.0,178525.0,9681.0
672,187722,190422.0,190492.0,2700.0
673,187796,190492.0,191133.0,2696.0
739,204541,207241.0,207319.0,2700.0
740,204621,207321.0,207405.0,2700.0
746,204885,207319.0,207408.0,2434.0
748,204976,207405.0,207487.0,2429.0
741,204707,207407.0,207498.0,2700.0
750,205059,207408.0,207511.0,2349.0
744,204799,207499.0,207583.0,2700.0
751,205165,207487.0,207589.0,2322.0
755,205499,207583.0,207594.0,2084.0
752,205269,207498.0,207600.0,2229.0
753,205373,207511.0,207614.0,2138.0
770,209027,212383.0,212579.0,3356.0
772,209381,212389.0,214818.0,3008.0
878,233469,236169.0,236303.0,2700.0
886,234787,237487.0,237622.0,2700.0
887,234924,237624.0,237641.0,2700.0
900,237247,237641.0,237655.0,394.0
901,237286,237655.0,237674.0,369.0
898,237093,237622.0,237775.0,529.0
908,237900,237900.0,237914.0,0.0
907,237802,237802.0,237945.0,0.0
910,237950,237950.0,237959.0,0.0
909,237947,237947.0,237967.0,0.0
889,235535,238235.0,238482.0,2700.0
891,235949,239003.0,239188.0,3054.0
920,239963,242767.0,242784.0,2804.0
919,239820,242759.0,242900.0,2939.0
924,240319,242784.0,243036.0,2465.0
931,241575,242900.0,243108.0,1325.0
933,241854,243036.0,243271.0,1182.0
938,242281,243108.0,243280.0,827.0
